ReportingArea,State,IssueDate,ForecastDate,ForecastPeriod,Parameter,AQI,AQI Category,LevelOfHealthConcern,ActionDayName,ActionDay,TimeZone,Latitude,Longitude,Acquired
Central LA CO,CA,1/23/2010 0:00,1/24/2010 0:00,Next Day,PM2.5,45,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/24/2010 0:00,1/25/2010 0:00,Next Day,OZONE,-1,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/24/2010 0:00,1/25/2010 0:00,Next Day,PM2.5,-1,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/25/2010 0:00,1/26/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/25/2010 0:00,1/26/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/25/2010 0:00,1/26/2010 0:00,Next Day,OZONE,19,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/25/2010 0:00,1/26/2010 0:00,Next Day,PM10,19,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/25/2010 0:00,1/26/2010 0:00,Next Day,PM2.5,39,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/26/2010 0:00,1/27/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/26/2010 0:00,1/27/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/26/2010 0:00,1/27/2010 0:00,Next Day,OZONE,22,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/26/2010 0:00,1/27/2010 0:00,Next Day,PM10,32,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/26/2010 0:00,1/27/2010 0:00,Next Day,PM2.5,39,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/27/2010 0:00,1/28/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/27/2010 0:00,1/28/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/27/2010 0:00,1/28/2010 0:00,Next Day,OZONE,21,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/27/2010 0:00,1/28/2010 0:00,Next Day,PM10,34,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/27/2010 0:00,1/28/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/28/2010 0:00,1/29/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/28/2010 0:00,1/29/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/28/2010 0:00,1/29/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/28/2010 0:00,1/29/2010 0:00,Next Day,PM10,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/28/2010 0:00,1/29/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/29/2010 0:00,1/30/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/29/2010 0:00,1/30/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/29/2010 0:00,1/30/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/29/2010 0:00,1/30/2010 0:00,Next Day,PM10,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
